"","Type.results","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p","Common.Name","Window.size","Window.time","Training.dates","p.adj"
"505","Cumulative",81,7.69885574339371,-32.5148346419526,49.0837318946956,20.5227844798398,73.3011442566063,31.9162681053044,113.514834641953,20.5227844798398,66.4926821590343,-63.4625475618359,50.0779606877684,2152.6223029552,0.05,0.00203458799593082,"Northern Mockingbird",28,"after_eclipse","6,7,9",0.0105798575788403
"506","Cumulative",64,1.30782914138026,-36.1884551973791,36.4182931566272,17.973622510672,62.6921708586197,27.5817068433728,100.188455197379,17.973622510672,0.211411738491925,-67.6262059416911,70.8677858482621,72.5549813359571,0.05,0.00117924528301887,"Northern Mockingbird",24,"after_eclipse","6,7,9",0.00773809523809524
"507","Cumulative",46,2.66190069972775,-25.5131463965849,30.5740594339017,14.5055912740497,43.3380993002722,15.4259405660983,71.5131463965849,14.5055912740497,-5.68307445960541,-48.4871297956092,47.1665817870723,124.898034800034,0.05,0.00409836065573771,"Northern Mockingbird",20,"after_eclipse","6,7,9",0.0264227642276423
"508","Cumulative",25,2.86896315179671,-3.29584086140324,9.5377723163638,3.21516497867451,22.1310368482033,15.4622276836362,28.2958408614032,3.21516497867451,10.3846900211732,-70.0075182763185,98.2635611923254,167.809516315323,0.05,0.0010351966873706,"Northern Mockingbird",16,"after_eclipse","6,7,9",0.0078443204103183
"509","Cumulative",21,1.68711094434435,-1.5697263113689,4.97897802947366,1.69164492020996,19.3128890556556,16.0210219705263,22.5697263113689,1.69164492020996,10.8736385324022,-88.9426760966896,116.440304099797,206.761508424675,0.05,0.00102040816326531,"Northern Mockingbird",12,"after_eclipse","6,7,9",0.00952380952380952
"510","Cumulative",21,0.793138720449562,-1.35869769486673,2.97173108023452,1.11744753302785,20.2068612795504,18.0282689197655,22.3586976948667,1.11744753302785,24.3673165070362,-196.039421986213,224.420453668491,372.566577077859,0.05,0.00102145045965271,"Northern Mockingbird",8,"after_eclipse","6,7,9",0.00610328638497653
"511","Cumulative",0,0.516966112421172,-0.792456240647358,1.7472468903277,0.664243806890069,-0.516966112421172,-1.7472468903277,0.792456240647358,0.664243806890069,-1,-1,-1,0,0.05,0.221221221221221,"Northern Mockingbird",4,"after_eclipse","6,7,9",0.319541763986208
"512","Cumulative",198,28.7369470259121,-28.7432972625526,85.5941256290123,29.5198378237609,169.263052974088,112.405874370988,226.743297262553,29.5198378237609,-13.2627141111517,-77.8499945690943,68.5360959001872,321.297189150715,0.05,0.00101626016260163,"Northern Flicker",28,"after_eclipse","6,7,9",0.00661241098677518
"513","Cumulative",197,30.4991812740044,-20.3517347538789,81.4911721069117,24.6598344299315,166.500818725996,115.508827893088,217.351734753879,24.6598344299315,8.24759758241932,-47.5783387823573,75.1111215531784,85.8095648620416,0.05,0.0010183299389002,"Northern Flicker",24,"after_eclipse","6,7,9",0.00773809523809524
"514","Cumulative",190,26.6994680749777,-16.9908924040481,67.4390553203056,21.3350675378374,163.300531925022,122.560944679694,206.990892404048,21.3350675378374,1.6622334036973,-68.4331298792405,48.2529290533023,101.925759118915,0.05,0.00102459016393443,"Northern Flicker",20,"after_eclipse","6,7,9",0.010655737704918
